Name of College,No. Graduates Enrolled,% of graduates enrolled,Type of college,Competitiveness Level,Graduation rate,Latitude,Longitude,State,Zip Code,City
UNIVERSITY OF ILLINOIS AT CHICAGO,1135.0,5.00%,4-year ,Competitive ,58.00%,41.8748397,-87.6580882,IL,60607,Chicago
CITY OF CHICAGO - HAROLD WASHINGTON COLL,1043.0,4.60%,2-year ,N/A ,7.00%,41.88591160000001,-87.62648890000001,IL,60601,Chicago
UNIVERSITY OF ILLINOIS @ URBANA,766.0,3.30%,4-year ,Highly Competitive ,84.00%,40.1019523,-88.2271615,IL,61801,Urbana
CITY OF CHICAGO - WRIGHT COLLEGE,749.0,3.30%,2-year ,N/A ,11.00%,41.95880070000001,-87.78827559999998,IL,60634,Chicago
NORTHEASTERN ILLINOIS UNIVERSITY,474.0,2.10%,4-year ,Not Competitive ,21.00%,41.9805024,-87.7182002,IL,60625,Chicago
CITY OF CHICAGO - MALCOLM X COLLEGE,406.0,1.80%,2-year ,N/A ,7.00%,41.8778763,-87.67468829999999,IL,60612,Chicago
CITY OF CHICAGO - RICHARD J. DALEY COLLE,386.0,1.70%,2-year ,N/A ,10.00%,41.7565084,-87.72390759999998,IL,60652,Chicago
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,327.0,1.40%,4-year ,Competitive ,48.00%,37.7131972,-89.21855280000004,IL,62901,Carbondale
NORTHERN ILLINOIS UNIVERSITY,305.0,1.30%,4-year ,Competitive ,54.00%,41.934233,-88.774069,IL,60115,DeKalb
WESTERN ILLINOIS UNIVERSITY,288.0,1.30%,4-year ,Competitive ,54.00%,40.476174,-90.684401,IL,61455,Macomb
DEPAUL UNIVERSITY,282.0,1.20%,4-year ,Very Competitive ,68.00%,41.9239994,-87.65507840000002,IL,60604,Chicago
LOYOLA UNIVERSITY CHICAGO,268.0,1.20%,4-year ,Very Competitive ,70.00%,41.998997,-87.6581921,IL,60660,Chicago
ILLINOIS STATE UNIVERSITY,267.0,1.20%,4-year ,Competitive ,71.00%,40.5122833,-88.9946702,IL,61761,Normal
CITY OF CHICAGO - HARRY S TRUMAN COLLEGE,255.0,1.10%,2-year ,N/A ,9.00%,41.9642396,-87.6599684,IL,60640,Chicago
CITY OF CHICAGO - KENNEDY-KING COLLEGE,208.0,0.90%,2-year ,N/A ,22.00%,41.7782973,-87.64390039999998,IL,60621,Chicago
SAINT XAVIER UNIVERSITY,190.0,0.80%,4-year ,Competitive ,54.00%,41.7068972,-87.7161308,IL,60655,Chicago
DOMINICAN UNIVERSITY,175.0,0.80%,4-year ,Competitive ,66.00%,41.9024125,-87.8220588,IL,60305,River Forest
COLUMBIA COLLEGE CHICAGO,157.0,0.70%,4-year ,Less Competitive ,41.00%,41.8742257,-87.6244445,IL,60605,Chicago
EASTERN ILLINOIS UNIVERSITY,141.0,0.60%,4-year ,N/A ,60.00%,39.4799641,-88.1753643,IL,61920,Charleston
MORAINE VALLEY COMMUNITY COLLEGE,134.0,0.60%,2-year ,N/A ,18.00%,41.69308510000001,-87.8377842,IL,60465,Palos Hills
UNIVERSITY OF IOWA,124.0,0.50%,4-year ,Very Competitive ,70.00%,41.6626963,-91.5548998,IA,52242,Iowa City
CITY OF CHICAGO - OLIVE-HARVEY COLLEGE,122.0,0.50%,2-year ,N/A ,6.00%,41.70990670000001,-87.58931559999998,IL,60628,Chicago
OAKTON COMMUNITY COLLEGE,107.0,0.50%,2-year ,N/A ,13.00%,42.0622321,-87.8811155,IL,60016,Des Plaines
ROBERT MORRIS UNIVERSITY,105.0,0.50%,4-year ,N/A ,50.00%,40.521728,-80.209717,PA,15108,Coraopolis
SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILL,104.0,0.50%,4-year ,Competitive ,52.00%,38.79309779999999,-89.9979453,IL,62025,Edwardsville
ILLINOIS INSTITUTE OF TECHNOLOGY,101.0,0.40%,4-year ,Highly Competitive ,68.00%,41.8348731,-87.6270059,IL,60616,Chicago
UNIVERSITY OF MICHIGAN,98.0,0.40%,4-year ,Highly Competitive ,91.00%,42.2780436,-83.7382241,MI,48109,Ann Arbor
CENTRAL STATE UNIVERSITY-OH,95.0,0.40%,4-year ,Competitive ,27.00%,39.71576560000001,-83.87720279999998,OH,45384,Wilberforce
CHICAGO STATE UNIVERSITY,90.0,0.40%,4-year ,Competitive ,21.00%,41.718485,-87.6112325,IL,60628,Chicago
NORTH PARK UNIVERSITY,88.0,0.40%,4-year ,Competitive ,56.00%,41.9746782,-87.710796,IL,60625,Chicago
NATIONAL LOUIS UNIVERSITY,81.0,0.40%,4-year ,Less Competitive ,44.00%,41.8800946,-87.62469500000002,IL,60603,Chicago
NORTHWESTERN UNIVERSITY,75.0,0.30%,4-year ,Most Competitive ,93.00%,42.0564594,-87.67526699999998,IL,60208,Evanston
